1640784976062,107,"Wed, 29 Dec 2021 13:36:16 GMT","12/29/2021, 2:36:16 PM"
1640784982314,108,"Wed, 29 Dec 2021 13:36:22 GMT","12/29/2021, 2:36:22 PM"
1640784983392,108,"Wed, 29 Dec 2021 13:36:23 GMT","12/29/2021, 2:36:23 PM"
1640784983404,108,"Wed, 29 Dec 2021 13:36:23 GMT","12/29/2021, 2:36:23 PM"
1640784984178,108,"Wed, 29 Dec 2021 13:36:24 GMT","12/29/2021, 2:36:24 PM"
1640784985212,108,"Wed, 29 Dec 2021 13:36:25 GMT","12/29/2021, 2:36:25 PM"
1640784987269,108,"Wed, 29 Dec 2021 13:36:27 GMT","12/29/2021, 2:36:27 PM"
1640784989330,108,"Wed, 29 Dec 2021 13:36:29 GMT","12/29/2021, 2:36:29 PM"
1640784991163,108,"Wed, 29 Dec 2021 13:36:31 GMT","12/29/2021, 2:36:31 PM"
1640784993595,101,"Wed, 29 Dec 2021 13:36:33 GMT","12/29/2021, 2:36:33 PM"
1640784995222,101,"Wed, 29 Dec 2021 13:36:35 GMT","12/29/2021, 2:36:35 PM"
1640784997823,95,"Wed, 29 Dec 2021 13:36:37 GMT","12/29/2021, 2:36:37 PM"
1640785005910,95,"Wed, 29 Dec 2021 13:36:45 GMT","12/29/2021, 2:36:45 PM"
1640785009309,95,"Wed, 29 Dec 2021 13:36:49 GMT","12/29/2021, 2:36:49 PM"
1640785011189,95,"Wed, 29 Dec 2021 13:36:51 GMT","12/29/2021, 2:36:51 PM"
1640785011219,95,"Wed, 29 Dec 2021 13:36:51 GMT","12/29/2021, 2:36:51 PM"
1640785012428,95,"Wed, 29 Dec 2021 13:36:52 GMT","12/29/2021, 2:36:52 PM"
1640785012433,95,"Wed, 29 Dec 2021 13:36:52 GMT","12/29/2021, 2:36:52 PM"
1640785012618,95,"Wed, 29 Dec 2021 13:36:52 GMT","12/29/2021, 2:36:52 PM"
1640785013466,95,"Wed, 29 Dec 2021 13:36:53 GMT","12/29/2021, 2:36:53 PM"
1640785015310,95,"Wed, 29 Dec 2021 13:36:55 GMT","12/29/2021, 2:36:55 PM"
1640785017122,95,"Wed, 29 Dec 2021 13:36:57 GMT","12/29/2021, 2:36:57 PM"
1640785019143,95,"Wed, 29 Dec 2021 13:36:59 GMT","12/29/2021, 2:36:59 PM"
1640785020933,95,"Wed, 29 Dec 2021 13:37:00 GMT","12/29/2021, 2:37:00 PM"
1640785022927,101,"Wed, 29 Dec 2021 13:37:02 GMT","12/29/2021, 2:37:02 PM"
1640785025007,101,"Wed, 29 Dec 2021 13:37:05 GMT","12/29/2021, 2:37:05 PM"
1640785027024,101,"Wed, 29 Dec 2021 13:37:07 GMT","12/29/2021, 2:37:07 PM"
1640785028958,96,"Wed, 29 Dec 2021 13:37:08 GMT","12/29/2021, 2:37:08 PM"
1640785030923,96,"Wed, 29 Dec 2021 13:37:10 GMT","12/29/2021, 2:37:10 PM"
